sequence_id,split,rows,duration_s,est_hz,window_len,n_windows,n_blackout_windows,blackout_seconds,gnss_available_frac,timeline_parquet,windows_npz
M,train,105974,10599.6,10.0,20,105915,78,2332.2,0.778,processed\train\M.parquet,processed\train\M_windows.npz
S1,train,51746,5174.5,10.0,20,51727,36,1076.1,0.789,processed\train\S1.parquet,processed\train\S1_windows.npz
S2,train,93876,9388.6,10.0,20,93837,61,1823.9,0.805,processed\train\S2.parquet,processed\train\S2_windows.npz
S3a,validation,24621,2462.0,10.0,20,24602,17,508.1,0.77,processed\validation\S3a.parquet,processed\validation\S3a_windows.npz
S3b,validation,6813,685.5,10.0,20,6774,6,179.4,0.736,processed\validation\S3b.parquet,processed\validation\S3b_windows.npz
S3c,validation,37183,3718.2,10.0,20,37164,28,837.5,0.772,processed\validation\S3c.parquet,processed\validation\S3c_windows.npz
V-Vfa01,train,11486,1148.5,10.0,20,11467,8,239.2,0.791,processed\train\V-Vfa01.parquet,processed\train\V-Vfa01_windows.npz
V-Vfa02,validation,67523,6752.2,10.0,20,67504,54,1614.6,0.76,processed\validation\V-Vfa02.parquet,processed\validation\V-Vfa02_windows.npz
Vta01a,train,25676,2567.5,10.0,20,25657,21,628.1,0.752,processed\train\Vta01a.parquet,processed\train\Vta01a_windows.npz
Vta01b,train,953,95.2,10.0,20,934,1,29.8,0.686,processed\train\Vta01b.parquet,processed\train\Vta01b_windows.npz
Vta02,train,10991,1099.0,10.0,20,10972,9,269.1,0.754,processed\train\Vta02.parquet,processed\train\Vta02_windows.npz
Vta04,train,1789,178.8,10.0,20,1770,1,29.9,0.832,processed\train\Vta04.parquet,processed\train\Vta04_windows.npz
Vta06,train,1376,137.5,10.0,20,1357,1,30.0,0.781,processed\train\Vta06.parquet,processed\train\Vta06_windows.npz
Vta07,train,840,83.9,10.0,20,821,1,29.9,0.643,processed\train\Vta07.parquet,processed\train\Vta07_windows.npz
Vta08,test,3676,367.5,10.0,20,3657,2,59.8,0.837,processed\test\Vta08.parquet,processed\test\Vta08_windows.npz
Vta10,train,1502,150.1,10.0,20,1483,1,29.8,0.801,processed\train\Vta10.parquet,processed\train\Vta10_windows.npz
Vta12,train,610,60.9,10.0,20,591,1,29.9,0.508,processed\train\Vta12.parquet,processed\train\Vta12_windows.npz
Vta14,train,2885,288.4,10.0,20,2866,2,59.8,0.792,processed\train\Vta14.parquet,processed\train\Vta14_windows.npz
Vta15,train,833,83.2,10.0,20,814,1,29.8,0.641,processed\train\Vta15.parquet,processed\train\Vta15_windows.npz
Vta16,train,11335,1133.4,10.0,20,11316,8,239.2,0.788,processed\train\Vta16.parquet,processed\train\Vta16_windows.npz
Vta17,train,4519,453.0,10.0,20,4480,4,119.6,0.734,processed\train\Vta17.parquet,processed\train\Vta17_windows.npz
Vta21,train,2079,207.8,10.0,20,2060,2,59.8,0.711,processed\train\Vta21.parquet,processed\train\Vta21_windows.npz
Vta22,train,1564,156.3,10.0,20,1545,1,29.9,0.808,processed\train\Vta22.parquet,processed\train\Vta22_windows.npz
Vta23,train,1110,110.9,10.0,20,1091,1,29.9,0.73,processed\train\Vta23.parquet,processed\train\Vta23_windows.npz
Vta24,train,1171,117.0,10.0,20,1152,0,0.0,1.0,processed\train\Vta24.parquet,processed\train\Vta24_windows.npz
Vta26,train,1935,193.4,10.0,20,1916,2,59.8,0.69,processed\train\Vta26.parquet,processed\train\Vta26_windows.npz
Vta28,test,4210,420.9,10.0,20,4191,3,89.7,0.781,processed\test\Vta28.parquet,processed\test\Vta28_windows.npz
Vta29,train,23705,2369.8,10.0,20,23663,19,568.1,0.752,processed\train\Vta29.parquet,processed\train\Vta29_windows.npz
Vta30,train,17136,1713.5,10.0,20,17117,7,209.3,0.877,processed\train\Vta30.parquet,processed\train\Vta30_windows.npz
Vtb01,test,32459,3245.8,10.0,20,25790,20,597.8,0.795,processed\test\Vtb01.parquet,processed\test\Vtb01_windows.npz
Vtb02,train,5712,571.1,10.0,20,5693,5,149.7,0.735,processed\train\Vtb02.parquet,processed\train\Vtb02_windows.npz
